TEAM_ID,TEAM_NAME,SEASON,W,L,W_PCT,PLUS_MINUS
1610612745,Houston Rockets,2019-20,44,28,0.611,213.0
1610612754,Indiana Pacers,2019-20,45,28,0.616,143.0
1610612746,LA Clippers,2019-20,49,23,0.681,464.0
1610612747,Los Angeles Lakers,2019-20,52,19,0.732,411.0
1610612763,Memphis Grizzlies,2019-20,34,39,0.466,-78.0
1610612748,Miami Heat,2019-20,44,29,0.603,215.0
1610612749,Milwaukee Bucks,2019-20,56,17,0.767,736.0
1610612750,Minnesota Timberwolves,2019-20,19,45,0.297,-275.0
1610612740,New Orleans Pelicans,2019-20,30,42,0.417,-93.0
1610612752,New York Knicks,2019-20,21,45,0.318,-426.0
1610612760,Oklahoma City Thunder,2019-20,44,28,0.611,143.0
1610612753,Orlando Magic,2019-20,33,40,0.452,-74.0
1610612755,Philadelphia 76ers,2019-20,43,30,0.589,174.0
1610612756,Phoenix Suns,2019-20,34,39,0.466,16.0
1610612757,Portland Trail Blazers,2019-20,35,39,0.473,-85.0
1610612758,Sacramento Kings,2019-20,31,41,0.431,-147.0
1610612759,San Antonio Spurs,2019-20,32,39,0.451,-79.0
1610612761,Toronto Raptors,2019-20,53,19,0.736,449.0
1610612762,Utah Jazz,2019-20,44,28,0.611,178.0
1610612764,Washington Wizards,2019-20,25,47,0.347,-336.0
1610612737,Atlanta Hawks,2018-19,29,53,0.354,-494.0
1610612738,Boston Celtics,2018-19,49,33,0.598,364.0
1610612751,Brooklyn Nets,2018-19,42,40,0.512,-6.0
1610612766,Charlotte Hornets,2018-19,39,43,0.476,-90.0
1610612741,Chicago Bulls,2018-19,22,60,0.268,-690.0
1610612739,Cleveland Cavaliers,2018-19,19,63,0.232,-788.0
1610612742,Dallas Mavericks,2018-19,33,49,0.402,-105.0
1610612743,Denver Nuggets,2018-19,54,28,0.659,324.0
1610612765,Detroit Pistons,2018-19,41,41,0.5,-20.0
1610612744,Golden State Warriors,2018-19,57,25,0.695,530.0
1610612745,Houston Rockets,2018-19,53,29,0.646,391.0
1610612754,Indiana Pacers,2018-19,48,34,0.585,273.0
1610612746,LA Clippers,2018-19,48,34,0.585,70.0
1610612747,Los Angeles Lakers,2018-19,37,45,0.451,-141.0
1610612763,Memphis Grizzlies,2018-19,33,49,0.402,-213.0
1610612748,Miami Heat,2018-19,39,43,0.476,-19.0
1610612749,Milwaukee Bucks,2018-19,60,22,0.732,727.0
1610612750,Minnesota Timberwolves,2018-19,36,46,0.439,-123.0
